dataset,split_id,node_index,original_node_id,split,true_label,pred_final,pred_pca,pred_ridge,final_correct,pca_correct,ridge_correct,M_pca,M_ridge,HHI_i,T_i,SymRatio_i,SignalEntropy_i,Purity_i,degree,mechanism_type,P_X,P_PrX,P_Pr2X,P_Pr3X,P_XminusPrX,P_PrXminusPr2X,P_PsX,P_Ps2X,P_XminusPsX
squirrel,0,10,10,train,1,1,1,1,1,1,1,0.5170259595153583,1.4815249542120295,0.6260772204984073,0.4633513148729436,0.3714244063388366,2.046911696041382,0.23996151098234916,115.0,low-pass-node,0.04164739554868926,0.14934477484183625,0.07146414820179987,0.1661638826063988,0.07186657902416907,0.23996151098234916,0.13985500144333052,0.06253694840135664,0.05715975797396681
squirrel,0,11,11,val,2,2,2,2,1,1,1,1.200084647462711,2.769846147630036,0.22292521571351345,0.8334549192102249,0.3419064744494915,1.9000028624498588,0.2758555382638667,3.0,low-pass-node,0.0,0.17594945692415945,0.13209401292881046,0.2758555382638667,0.04393925585897884,0.11737015275561061,0.1195887344871581,0.11422374651827859,0.020979101489634597
squirrel,0,12,12,val,4,4,4,4,1,1,1,1.04146484645335,1.950472009894911,0.6064094412768335,0.5974334541341979,0.3767538587392441,2.1224068402063065,0.19563734383473136,31.0,low-pass-node,0.0867565499939651,0.12786585011118803,0.08017415603630265,0.1692625773916767,0.09039102554248557,0.19563734383473136,0.12205831631963655,0.06913890198667247,0.05871527782649534
squirrel,0,13,13,train,3,3,3,3,1,1,1,1.4593925290534009,2.3700326038285495,0.5499523241817443,0.49723376237570466,0.42616630080074097,2.119627725896372,0.17098140577333026,16.0,low-pass-node,0.05465117218186209,0.16206748931749526,0.07649309227709153,0.159975755324317,0.09334242054714101,0.17098140577333026,0.1384503625395656,0.07293452986335672,0.07110377131340362
squirrel,0,14,14,train,0,0,0,0,1,1,1,1.0545621332877582,2.227947490697714,0.6371165086481576,0.6813029916086497,0.31228914557157844,2.071152754676538,0.21424803800134826,26.0,low-pass-node,0.04737937541284978,0.11694559267551109,0.08573274547225253,0.21424803800134826,0.09810540749051656,0.210891025824926,0.10171891384071252,0.063244036976561,0.061734863101644215
squirrel,0,15,15,train,0,0,0,0,1,1,1,0.3648553939143556,2.2604447011508415,0.5600251451595252,1.0678620507552667,0.22147543602233943,1.8923734659560185,0.25124272726751706,12.0,two-hop-node,0.0,0.11012665428998034,0.110495419830874,0.25124272726751706,0.1155239676339924,0.2312932683641091,0.07836395627860096,0.09078655012007142,0.012167454795375374
squirrel,0,16,16,train,4,4,4,4,1,1,1,0.5848773824799365,1.7530929723493713,0.5236579506963359,0.30847409532772896,0.3923156056100298,1.9996240640002632,0.22548939579368746,187.0,low-pass-node,0.04086533772769078,0.21439194471176548,0.061437490749885026,0.12423339153379549,0.06332511054281995,0.22548939579368746,0.17175352630838597,0.057678384088264444,0.04082541782088953
squirrel,0,17,17,train,1,1,1,1,1,1,1,2.1116286245706015,2.835314785841713,0.7486301564191498,0.8704559458254537,0.2984592964162017,1.9874411709115238,0.22040652257887747,7.0,low-pass-node,0.0,0.10446012228263653,0.09832828712864625,0.20548165356544276,0.14146692317473994,0.22040652257887747,0.09142503827398037,0.07218111557770505,0.06625033590377609
squirrel,0,18,18,train,1,1,1,1,1,1,1,0.15996715687883256,0.5041217303158816,0.5126433776007426,0.6179526300229291,0.26942931935247755,1.9194054223723376,0.22334788426687957,23.0,low-pass-node,0.0,0.15679593553046606,0.09428057750418739,0.20976242214705465,0.10356873619849531,0.22334788426687957,0.12215656590896856,0.07809885441240408,0.011989022853023114
squirrel,0,19,19,val,1,0,0,0,0,0,0,-0.7996914961907584,-2.3106687660964154,0.4534410794720104,0.9130462843494384,0.3739892774869869,2.0932356022598997,0.2123613816618752,8.0,low-pass-node,0.04333741857881059,0.12327698971368785,0.10807696763538846,0.2123613816618752,0.08577788496935458,0.16677318513763648,0.10977742906287027,0.10471250348067897,0.04590623874130291
squirrel,0,20,20,train,0,0,0,0,1,1,1,1.1807142744331998,2.0694218027914952,0.6307733849559689,0.7638074084364855,0.29781018864254744,2.111727864117766,0.20884161869692405,4.0,low-pass-node,0.06535902490297509,0.11786068423825644,0.0976285950603165,0.20884161869692405,0.13652278462570183,0.15931401384681276,0.0886731009939482,0.06012344019323523,0.0656767363525217
squirrel,0,21,21,train,2,2,2,2,1,1,1,1.9098789913369318,2.154611324275417,0.8684826736662663,0.8142809210633413,0.3724901826010011,2.1220855027626397,0.19474772234733098,13.0,low-pass-node,0.06801749599148327,0.09168285379396551,0.07852737672044277,0.17484398082817149,0.1392429985283173,0.19474772234733098,0.08687114077694554,0.06686573443911178,0.09920069558056731
squirrel,0,22,22,train,1,1,1,1,1,1,1,1.0424772175379946,2.028356142770833,0.425985883638323,0.853082618059126,0.4147026941120996,2.029375166611327,0.21010234539399048,3.0,low-pass-node,0.0,0.1385814860315224,0.117830762521424,0.21010234539399048,0.10630117413530225,0.1340465309283754,0.12647246412964527,0.10828215520983107,0.0583830804269127
squirrel,0,23,23,train,2,2,2,2,1,1,1,1.6324331142398805,2.2386802380974244,0.5470718527312538,0.7360581690761174,0.3951882452452629,2.128491365540381,0.18201816646810545,2.0,low-pass-node,0.042109546300162434,0.13262331635735986,0.10190912281726659,0.18201816646810545,0.12305575888272774,0.14696081066457603,0.1191800853153806,0.08343282798584498,0.06871036390551681
squirrel,0,24,24,train,1,1,1,1,1,1,1,0.20497178646800218,1.5982597861401044,0.5825025471887364,0.4835467415280074,0.30882405720979444,1.9087741224874555,0.2627824764318463,110.0,low-pass-node,0.0,0.15796465987902383,0.0781163844209169,0.18416585514174827,0.08101525900722767,0.2627824764318463,0.14384225115486202,0.06782136398063537,0.024291748898064708
squirrel,0,25,25,train,2,2,2,2,1,1,1,0.14241623927246194,0.5105279197150143,0.7365303064670096,0.5299992728041197,0.3504373187937127,1.9930148704016029,0.22630187074416092,103.0,low-pass-node,0.0,0.14112784655696303,0.07118287354454249,0.17377574719182215,0.128112524280702,0.22630187074416092,0.12167306716630293,0.06810141962157669,0.06972464996768975
squirrel,0,26,26,train,2,2,2,2,1,1,1,0.1384129956514084,1.182904334804816,0.5161314001098871,0.7150962063294222,0.2827285735961767,1.9143985168541693,0.2502877301741896,41.0,low-pass-node,0.0,0.15175115004249645,0.09835699940554371,0.21395259573056247,0.06523967707229186,0.2502877301741896,0.10807150001143039,0.0874411919671915,0.024899154349283654
squirrel,0,27,27,val,0,0,0,0,1,1,1,0.4283555241856034,2.3619459070114273,0.5049088686309333,0.9462609136561441,0.29911610274283956,1.988655518749345,0.21961095087088583,5.0,low-pass-node,0.0,0.13456420863660987,0.11232739104878864,0.21961095087088583,0.15682003383633147,0.1464315558923511,0.09401825378767104,0.1039712586915289,0.03225634603330346
squirrel,0,28,28,train,1,1,2,1,1,0,1,-0.010226995906084002,0.6353790423020274,0.4863760595835087,0.30106095550555534,0.3664953665713745,1.8689152192458154,0.2352138178984672,150.0,low-pass-node,0.0,0.22629547764226438,0.06530956188595098,0.12985681786369596,0.07512336603502172,0.2352138178984672,0.1909950657257956,0.06032032782417058,0.016885564357533307
squirrel,0,29,29,val,3,1,1,1,0,0,0,-0.18709598485798962,-0.396438084839731,0.6631896474959451,0.5299556162582796,0.34544640320210496,1.9749444564952805,0.2373327490831488,65.0,low-pass-node,0.0,0.1419017993832422,0.07905795439145857,0.19071436053387736,0.09424087692549005,0.2373327490831488,0.12643277069700615,0.06314745805934989,0.06717202982466414
squirrel,0,30,30,val,0,2,0,2,0,1,0,0.0034731075123430877,-0.4814170008593446,0.6164900469099444,0.6310173667780599,0.3170241988811097,1.9813524626727417,0.231076785378701,16.0,low-pass-node,0.0,0.12681063839279347,0.08622310738083185,0.231076785378701,0.11498136106461057,0.20019559816695584,0.11080025837573812,0.0637134950164514,0.0661987549675294
squirrel,0,31,31,train,4,4,4,4,1,1,1,0.2951176602646207,1.9337534373160212,0.5220915184423163,0.30770803295901594,0.37913289655042565,1.8815816264967107,0.25144004600965086,264.0,low-pass-node,0.0,0.21687118863814148,0.06441669579362462,0.13571979443386378,0.05664555780864845,0.25144004600965086,0.18174295932187434,0.05824007958509369,0.034923677626625765
squirrel,0,32,32,val,0,1,1,1,0,0,0,-0.10070052021711007,-3.7737346868100676,0.651496254378167,1.2054515568513833,0.21233027633523213,1.885267408494477,0.29072025329912216,7.0,two-hop-node,0.0,0.07360726261237915,0.1028438633316758,0.29072025329912216,0.14464922743088307,0.21303712217046603,0.06912598415654302,0.06921415120157956,0.036802134144899974
squirrel,0,33,33,val,0,0,0,0,1,1,1,2.0189710033404573,3.0238487877921907,0.615429964069084,0.8766006580148336,0.21968266785920412,1.9348794470014854,0.27825358186635246,3.0,low-pass-node,0.0,0.1250241821348933,0.10654760235910266,0.27825358186635246,0.1345618195837916,0.17549820258757037,0.05656834607190495,0.05263652735843052,0.0709097360613105
squirrel,0,34,34,val,1,1,1,1,1,1,1,1.50510273220255,2.1466940741220304,0.5203994420077135,1.8013352841883787,0.2869568364471579,1.945778450490397,0.27314360224033846,3.0,two-hop-node,0.0,0.07764662687925256,0.1311586473508253,0.27314360224033846,0.13860356392681872,0.15647439538155083,0.05963729356563819,0.11613572250006807,0.047200146564206374
squirrel,0,35,35,train,0,0,0,0,1,1,1,2.253134105867632,2.167207400439616,0.5812394061513706,0.6060849534781824,0.377383984772012,2.0079293340467808,0.20180275083114954,5.0,low-pass-node,0.0,0.13814101738068912,0.08205174754180335,0.20180275083114954,0.11424557306715785,0.18977286917088515,0.1299721676824751,0.08044761975469791,0.06356625303020659
squirrel,0,36,36,train,1,1,1,1,1,1,1,0.7281724594157148,1.2100465465361427,0.5593454688387944,0.775415360784429,0.34078056047589156,2.086283535265995,0.2070970683217179,4.0,low-pass-node,0.03541057301060957,0.1177481487573861,0.09940402812071852,0.2070970683217179,0.11844199820015731,0.17673254145401684,0.11402241969926978,0.08031443083908689,0.05082879008421632
squirrel,0,37,37,train,3,3,3,3,1,1,1,0.4519882147252403,1.4181373888581437,0.5026099229443258,0.5027229195764954,0.37771776174179106,2.050570345221251,0.19218759536725188,11.0,low-pass-node,0.019693663021132516,0.16399957862399567,0.07608805546612217,0.19218759536725188,0.10383415761415206,0.17543427097538,0.14225436164257696,0.07787281951699754,0.04863549673984532
squirrel,0,38,38,test,4,4,4,4,1,1,1,1.589365451662426,2.9718978594239265,0.2974763193397021,0.5147135054902541,0.43235081576950324,2.0362455032567297,0.1971253038412782,15.0,low-pass-node,0.03811766748214829,0.19073494031879165,0.09437355010733448,0.1971253038412782,0.05260345253616907,0.13670377613751206,0.16855634162589414,0.09055852511501668,0.031226442350786456
squirrel,0,39,39,train,4,4,4,4,1,1,1,1.0601016410318513,3.0107271856062967,0.6060358393123734,0.45227870672137793,0.34346148180032016,2.05311569059591,0.23072685997502618,134.0,low-pass-node,0.04820193105858594,0.16130419012522562,0.0709542695552773,0.1617615153542318,0.08372012209895757,0.23072685997502618,0.13538583730992387,0.06323231235067452,0.044712961234869425
squirrel,0,40,40,train,4,4,4,4,1,1,1,2.5933232481064317,2.5739360792534027,0.46858395559058186,0.8101268244565875,0.41187674424779036,2.1493638289832773,0.19033558644050122,10.0,low-pass-node,0.08615541305374139,0.1361699971407511,0.09811499016431346,0.19033558644050122,0.08285085782073186,0.1397837838643976,0.10244688547725214,0.0951949472135499,0.0689475381386067
squirrel,0,41,41,train,1,1,1,1,1,1,1,0.9149768256742665,2.1121542497705637,0.6923441123395528,2.672637772581036,0.1445306063184948,1.7545767522321678,0.32352943088674635,4.0,two-hop-node,0.0,0.037499418820592274,0.12087309938404517,0.32352943088674635,0.15617440190381504,0.23564427513690134,0.03530028502810238,0.07369413895736189,0.017284947862527607
squirrel,0,42,42,test,4,4,4,4,1,1,1,0.058722513639654084,3.536370836403161,0.547971968229913,0.3093662360047796,0.37210188099274627,1.8956904148560665,0.24907214221764742,258.0,low-pass-node,0.0,0.2143418895439617,0.06363492143157021,0.13367792481386379,0.06808197582483945,0.24907214221764742,0.17693794551708789,0.05741384836614703,0.03683935151214816
squirrel,0,43,43,val,3,3,3,3,1,1,1,2.924767897744839,2.880956096738906,0.552284896817053,0.603259497537291,0.3914503133860901,2.129706881442379,0.16937557050043814,5.0,low-pass-node,0.061851032729718716,0.143781350463052,0.09062429185691978,0.16305502873193123,0.10738759321365446,0.16937557050043814,0.13147755587066215,0.0754282576712241,0.05701931787002557
squirrel,0,44,44,val,2,2,2,2,1,1,1,0.17686538142242503,2.5397954947511,0.5772073052696673,0.5363993939074942,0.42102028494428856,2.1352897505970434,0.16979005692983667,14.0,low-pass-node,0.06990667431015152,0.1428231295812785,0.07654055600805519,0.16979005692983667,0.09888277516791628,0.1664884983325247,0.13049052395960667,0.07006472209845487,0.07501306269010127
squirrel,0,45,45,val,1,2,1,2,0,1,0,0.1213922042702742,-0.600492032681236,0.45683435078701334,1.0542264185818715,0.30887567379768976,2.043528729658144,0.2627369481171274,8.0,two-hop-node,0.030499269437447633,0.12376593477881197,0.11006576656289621,0.2627369481171274,0.0821168267248126,0.16202714380606958,0.07229209592459412,0.09662378898082444,0.05987222468466655
squirrel,0,46,46,train,4,4,4,4,1,1,1,0.25866154777140493,1.9808074761425654,0.5303792891834304,0.3411820178518146,0.3777113463983588,2.0392592912879577,0.21420553245615864,157.0,low-pass-node,0.06016841141918799,0.21186626919682214,0.06412156024844538,0.12307728958979082,0.0688980700717532,0.21420553245615864,0.15425814577442903,0.06079350643660237,0.04261121408174291
squirrel,0,47,47,train,0,0,0,0,1,1,1,1.2134722450939124,2.428260125752847,0.7500108430959068,1.2310481320267346,0.3205520964087686,2.0665740773139816,0.22016147002549097,5.0,two-hop-node,0.029676782038932887,0.08109239382354362,0.09929964697677336,0.22016147002549097,0.15912375122234704,0.1751087562554996,0.0687499602313036,0.08516350308216596,0.08162373526593925
squirrel,0,48,48,val,0,0,0,2,1,1,0,0.38152825082019515,-0.29810772459080903,0.623596772955279,0.8395914148461808,0.28740666765971445,1.9826287598693797,0.22743925091202286,8.0,low-pass-node,0.0,0.11750970326542426,0.10196966643414154,0.22743925091202286,0.12930080257533824,0.20053591279975877,0.09366611512186436,0.07533173770778183,0.0542468098734764
squirrel,0,49,49,train,2,2,2,2,1,1,1,2.797616124595736,2.9105331981654228,0.7534779875674077,0.7737147916592333,0.33556663768850997,2.085748265253679,0.2004889125479135,3.0,low-pass-node,0.03320589523724408,0.10176211942363948,0.09057709679895541,0.2004889125479135,0.14772731167329817,0.183327648604128,0.09605383256354802,0.062476031280457964,0.08438115042771725
squirrel,0,50,50,val,1,1,1,1,1,1,1,1.164812383265255,3.290503131860165,0.6293996479279411,1.4099739054040537,0.21889566045559838,1.8716360513710073,0.25330449667929783,12.0,two-hop-node,0.0,0.08601342022938872,0.11431266415777308,0.24532479736188384,0.1214593880136131,0.25330449667929783,0.06685054909371776,0.10122154366570281,0.011513139388635876
squirrel,0,51,51,train,3,3,3,3,1,1,1,1.4826610930639514,1.8291620260183825,0.2777863572937309,2.7300800752302843,0.4014867244967395,1.9854074506557753,0.22863368081407975,1.0,two-hop-node,0.028446437519193037,0.07485391254050769,0.21090852571187163,0.22863368081407975,0.06278771848841458,0.11604681857375188,0.06769194942627973,0.1782530918529112,0.03237786417101802
squirrel,0,52,52,val,4,4,4,4,1,1,1,0.4444197885571781,2.506375481570506,0.644202526157835,0.7413179417380416,0.33376685332942685,2.1130183192258807,0.20098767295471875,11.0,low-pass-node,0.0584675671845308,0.11274086277165639,0.08901204256462837,0.20098767295471875,0.12786431972018,0.17531490296706412,0.10068947411625848,0.0692076954823188,0.06571546107720143
squirrel,0,53,53,val,2,0,0,0,0,0,0,-0.43954862373368253,-0.5978610559314405,0.4577276478644655,0.5080834606548734,0.4124889114046421,1.9933811225028668,0.17823629487647835,25.0,low-pass-node,0.0,0.17686738289971715,0.08796865005419267,0.1740342735554103,0.09086355751620194,0.17823629487647835,0.16261311601086714,0.08451577665764803,0.04490094748435495
squirrel,0,54,54,val,3,3,3,3,1,1,1,0.07696734243336634,1.0249826870563976,0.49030683964486577,0.5865798486961893,0.39737939612025003,2.0544422121010957,0.2057876263612743,18.0,low-pass-node,0.013199144458591728,0.1523681581857969,0.0966886600121582,0.2057876263612743,0.0847822124447736,0.16655296565834446,0.13526846427109684,0.07203318646867601,0.0733195812666142
squirrel,0,55,55,test,2,2,2,2,1,1,1,1.5423126237020017,2.0024095443736445,0.5920870264549455,0.7437201672724516,0.3047907806902857,1.9706052479549376,0.21974200342321507,19.0,low-pass-node,0.0,0.12546132423188863,0.09601175342802809,0.21041529007568185,0.11477602411415001,0.21974200342321507,0.11407887561779906,0.08213912407340183,0.03737560385037815
squirrel,0,56,56,train,1,1,1,1,1,1,1,0.8689637896397182,2.5700676816839447,0.9798082653881157,0.8284899697459887,0.3153914207581098,1.9873342739587947,0.2163248366205829,21.0,low-pass-node,0.0,0.10294757444723628,0.07755657062925025,0.17794337196632065,0.2163248366205829,0.18545763054541956,0.07597385779659337,0.07067804135817761,0.09311811566807625
squirrel,0,57,57,test,2,2,2,2,1,1,1,1.4683751926184363,1.509267976901718,0.5387186752988824,0.5691990108139195,0.3528634167086572,2.1161262961990364,0.18001030784017658,12.0,low-pass-node,0.05761525733391484,0.15563197634158812,0.08417843951483217,0.18001030784017658,0.1176344449567484,0.15913011115999987,0.11994646043042631,0.07268053409801388,0.05317246733580561
squirrel,0,58,58,val,1,1,1,1,1,1,1,0.49157363264557496,2.283496271493248,0.6009539079578552,0.8668249787554547,0.2597046818935009,1.9407689690005525,0.24006116381267054,35.0,low-pass-node,0.0,0.1312357173757634,0.09983029701022816,0.2166649993451645,0.10604467414039537,0.24006116381267054,0.08729714254723668,0.08959944465076196,0.02926655984425014
squirrel,0,59,59,val,0,0,0,0,1,1,1,1.7407247974412643,2.231975479290985,0.6300781773207913,0.5563945222634409,0.3993306984609145,2.064625480188004,0.18712262740154084,12.0,low-pass-node,0.014223338469062305,0.1390934858087773,0.07756930053339653,0.18712262740154084,0.1159593624582197,0.184718194276431,0.1292313634749084,0.07172517579576594,0.08035715077070123
squirrel,0,60,60,train,4,4,4,4,1,1,1,3.175266763575719,2.418732628993853,0.6718030591885442,0.6921413129839853,0.41938076068204405,2.1466401778880035,0.17082757825994727,4.0,low-pass-node,0.05628673772289049,0.1304415190827027,0.09495330187019507,0.1324494769752763,0.13620486943077584,0.17082757825994727,0.12487924887191694,0.08176474969468693,0.07219251677127045
squirrel,0,61,61,train,1,1,1,1,1,1,1,1.5176843851663984,1.9667947962192394,0.5247103020427449,1.015917267297613,0.3370641679773623,2.082850162655588,0.21744293404757156,6.0,two-hop-node,0.037963132434658445,0.10926723340624783,0.11148881405163522,0.21744293404757156,0.10045767652553965,0.18085770010862517,0.09586061642736442,0.09690411059897915,0.0497577814480902
squirrel,0,62,62,train,0,0,0,0,1,1,1,3.6372859038983445,2.4247418550756974,0.7413873864242255,0.9995157591221393,0.30195709468093107,2.0868571510899274,0.20776443497484093,2.0,low-pass-node,0.035168554971319745,0.09908738206421885,0.1309085772336823,0.16770046103570632,0.13560154017652765,0.20776443497484093,0.094138697089138,0.06222393395447929,0.06740641687461917
squirrel,0,63,63,test,4,4,4,4,1,1,1,1.460756934137012,1.9534698681014708,0.5400386087734821,0.8170238843118895,0.38310057030056527,2.026209370692221,0.19713276353105164,4.0,low-pass-node,0.0,0.12839446907545127,0.10749106561619053,0.19713276353105164,0.11343386112167358,0.17656106214575518,0.12047491004285303,0.09584116119815173,0.06067070624709305
squirrel,0,64,64,val,0,0,0,0,1,1,1,0.3691968072530447,1.3400834342413428,0.5121068642728303,0.5896502804444796,0.29792583189470523,1.9468741871631563,0.21457334823394872,30.0,low-pass-node,0.0,0.15712854317332212,0.08553087014622117,0.21457334823394872,0.10165946881844465,0.2115678177181459,0.12391161820957365,0.0801845398299548,0.02544379272964193
squirrel,0,65,65,train,4,4,4,4,1,1,1,0.6415567894125128,2.4366397222311273,0.5284427744848078,0.31372586488912685,0.39158210655364034,2.0000441400072986,0.21652902271283325,198.0,low-pass-node,0.026803176539306424,0.21652902271283325,0.0631762899582661,0.1290886309777771,0.07507993418433324,0.2154717217815236,0.16988019086913408,0.058050274774177645,0.04592075746323586
squirrel,0,66,66,train,2,2,2,2,1,1,1,0.4996372923428445,1.9236316661483173,0.5005915685433828,0.6140507499504695,0.292956412467031,1.9659621392929003,0.20461616227320556,15.0,low-pass-node,0.0,0.17206159252690703,0.09575985793306394,0.20461616227320556,0.09990233848624903,0.20108132518202326,0.11404322043804613,0.07992301703311838,0.032612484989368924
squirrel,0,67,67,test,4,4,4,4,1,1,1,1.6105551752427967,3.234717431436379,0.32016965332325786,0.5147135054902194,0.4412521394986296,2.0626327453570465,0.19247306835373706,15.0,low-pass-node,0.04439184527916133,0.18623351994924034,0.09214629683066689,0.19247306835373706,0.05870983506155848,0.1334775127089474,0.16457834499694038,0.08842130794385793,0.03956826840226888
squirrel,0,68,68,train,0,0,0,0,1,1,1,1.6444782916649716,2.43556484314841,0.6827369721883593,1.1698883734632217,0.2918416915579887,2.0559342568678876,0.23797635662660324,5.0,two-hop-node,0.04680461440215944,0.08196155496010968,0.09539674468874165,0.23797635662660324,0.11607964957697821,0.20644342889675937,0.06941904666107358,0.0817016611169183,0.06421694166064995
squirrel,0,69,69,train,4,4,4,4,1,1,1,0.9743382164300902,1.7283546090448128,0.5720484280237143,0.5910071610856049,0.4264219417363423,2.1218481572208936,0.17122032452932154,20.0,low-pass-node,0.04363503215459337,0.1443978003982759,0.08428567860156529,0.16461943507930496,0.10594104616789736,0.17122032452932154,0.13450508281326226,0.08054792262446692,0.07084767674190282
squirrel,0,70,70,val,3,3,4,3,1,0,1,-0.29704176500897383,2.302236792197074,0.47443559029979376,0.541819572400082,0.4289244696021056,2.106790648160692,0.16911651392942392,25.0,low-pass-node,0.04600402515462309,0.16189989578680866,0.08572176523656387,0.16911651392942392,0.08792210488561945,0.16297191083881107,0.1480637409876673,0.08222259990069887,0.056077442387584116
squirrel,0,71,71,val,2,1,1,1,0,0,0,-1.0296330966292366,-1.393777796736939,0.49557402855718596,0.615596428362026,0.300970101356604,2.0091840683197195,0.26191632182028574,6.0,low-pass-node,0.016946368184552585,0.13172822291838038,0.08433663858959169,0.26191632182028574,0.1079960900821825,0.16965395087935495,0.11300631857238896,0.06632107104955959,0.04809501654106687
squirrel,0,72,72,train,0,0,1,0,1,0,1,-0.011718675358458996,0.09139814714892913,0.4628253428579665,0.300241181635983,0.3747961096529818,1.8506272230055751,0.2419794136085143,152.0,low-pass-node,0.0,0.22992015303210264,0.06627518586100613,0.13157809048249047,0.05762774254433764,0.2419794136085143,0.1946399418622347,0.06119523870585502,0.016784233125456578
squirrel,0,73,73,train,1,1,1,1,1,1,1,1.6849324316408647,2.270697117315904,0.3371859396711166,2.335700285134849,0.2024692038789872,1.7627008799986128,0.40791139081947275,1.0,two-hop-node,0.0,0.04993020432209043,0.15630544783065906,0.40791139081947275,0.11442757009760667,0.10304751390799735,0.0519757615770857,0.08171634577932461,0.034685762621142605
squirrel,0,74,74,val,4,3,1,3,0,0,0,-0.5336601097692557,-4.394977908903048,0.6113994631502269,0.6981863007697027,0.3471333620234167,2.1260412705758207,0.1918446797305203,4.0,low-pass-node,0.08462308790150665,0.11532910596392144,0.09135210469798055,0.1918446797305203,0.10016481457004194,0.18080914023408262,0.10621232854861956,0.06332508993224198,0.06633964727695409
squirrel,0,75,75,train,1,0,1,0,0,1,0,0.2855770971948355,-0.3241802702328518,0.7432160263958348,0.8243370684827253,0.30244131266374585,2.080945028935395,0.1988367569561185,21.0,low-pass-node,0.04189430894664681,0.1059866629944915,0.08271176343374627,0.1988367569561185,0.1542440881813324,0.19384365490157665,0.08629295799138459,0.07579145565954466,0.06039834985567907
