split,class_label,branch_index,confuser_class,node_idx_sorted,original_node_id,true_label,pred_without_branch,pred_with_full_model,change_kind
4,4,1,3,475,475,2,3,4,redirect
4,4,1,3,1924,1924,2,3,4,redirect
5,0,1,1,86,86,0,1,0,fixed
5,0,1,1,807,807,3,3,0,broken
5,0,1,1,1384,1384,2,2,0,broken
5,1,1,0,161,161,2,2,1,broken
5,1,1,0,249,249,1,0,1,fixed
5,1,1,0,396,396,1,0,1,fixed
5,1,1,0,428,428,0,0,1,broken
5,1,1,0,521,521,2,0,1,redirect
5,1,1,0,672,672,1,0,1,fixed
5,1,1,0,743,743,1,0,1,fixed
5,1,1,0,953,953,1,0,1,fixed
5,1,1,0,1422,1422,1,0,1,fixed
5,1,1,0,1947,1947,2,2,1,broken
5,1,1,0,1986,1986,1,2,1,fixed
5,1,1,0,2093,2093,2,2,1,broken
5,1,2,2,2028,2028,0,0,1,broken
5,2,2,0,1418,1418,0,0,2,broken
5,2,2,0,1842,1842,2,1,2,fixed
5,3,2,0,565,565,3,0,3,fixed
6,1,1,0,439,439,1,0,1,fixed
6,1,1,0,467,467,0,0,1,broken
6,1,1,0,631,631,1,0,1,fixed
6,1,1,0,1307,1307,0,0,1,broken
6,1,1,0,1488,1488,0,0,1,broken
6,1,1,0,2046,2046,2,3,1,redirect
6,1,1,0,2166,2166,1,2,1,fixed
6,1,2,2,94,94,1,3,1,fixed
6,1,2,2,468,468,2,2,1,broken
6,1,2,2,596,596,1,2,1,fixed
6,1,2,2,1289,1289,1,2,1,fixed
6,1,2,2,2055,2055,1,4,1,fixed
6,1,2,2,2251,2251,1,2,1,fixed
6,2,1,0,810,810,2,1,2,fixed
6,2,1,0,1330,1330,2,1,2,fixed
6,2,1,0,1462,1462,1,0,2,redirect
6,2,1,0,1737,1737,2,0,2,fixed
6,2,1,0,2195,2195,2,1,2,fixed
6,2,2,3,1944,1944,4,4,2,broken
6,2,2,3,2242,2242,2,3,2,fixed
6,3,1,2,2041,2041,2,2,3,broken
6,4,1,3,401,401,4,1,4,fixed
6,4,1,3,719,719,0,3,4,redirect
6,4,1,3,1867,1867,4,2,4,fixed
7,1,1,0,161,161,2,0,1,redirect
7,1,1,0,399,399,1,0,1,fixed
7,1,1,0,798,798,2,2,1,broken
7,1,1,0,1043,1043,1,0,1,fixed
7,1,1,0,1197,1197,1,0,1,fixed
7,1,1,0,1404,1404,0,0,1,broken
7,1,1,0,1909,1909,0,2,1,redirect
7,1,1,0,2114,2114,1,0,1,fixed
7,2,1,3,2119,2119,2,3,2,fixed
7,2,2,0,1863,1863,3,1,2,redirect
7,3,1,2,39,39,3,2,3,fixed
8,0,1,1,320,320,1,1,0,broken
8,0,1,1,1383,1383,2,2,0,broken
8,0,1,1,1902,1902,2,2,0,broken
8,0,2,3,993,993,3,1,0,redirect
8,0,2,3,1698,1698,1,1,0,broken
8,1,1,0,150,150,1,0,1,fixed
8,2,1,3,1856,1856,2,4,2,fixed
8,2,1,3,1980,1980,3,4,2,redirect
8,4,1,3,1380,1380,4,3,4,fixed
9,0,1,1,803,803,1,1,0,broken
9,0,1,1,1854,1854,4,1,0,redirect
9,0,2,2,209,209,2,3,0,redirect
9,0,2,2,1676,1676,2,3,0,redirect
9,1,1,0,757,757,1,0,1,fixed
9,1,1,0,1732,1732,1,0,1,fixed
9,1,2,2,1068,1068,1,3,1,fixed
9,1,2,2,2055,2055,1,4,1,fixed
9,3,2,0,1582,1582,3,0,3,fixed
9,3,2,0,1935,1935,3,0,3,fixed
9,4,1,3,782,782,4,3,4,fixed


