split,class_label,branch_index,confuser_class,node_idx_sorted,original_node_id,true_label,full_pred_label,removed_branch_pred_label,full_correct,removed_correct,effect_type
3,1,1,0,1579,1579,1,1,0,1,0,fixed_by_branch
3,1,2,2,406,406,1,1,3,1,0,fixed_by_branch
3,2,2,0,903,903,2,2,0,1,0,fixed_by_branch
3,2,2,0,1317,1317,2,2,1,1,0,fixed_by_branch
3,2,2,0,1521,1521,2,2,1,1,0,fixed_by_branch
4,0,1,1,249,249,1,0,1,0,1,broken_by_branch
4,0,1,1,267,267,0,0,2,1,0,fixed_by_branch
4,1,1,0,934,934,0,1,0,0,1,broken_by_branch
4,1,2,4,996,996,3,1,3,0,1,broken_by_branch
4,1,2,4,1237,1237,1,1,3,1,0,fixed_by_branch
4,1,2,4,1271,1271,1,1,0,1,0,fixed_by_branch
4,1,2,4,1351,1351,2,1,4,0,0,wrong_redirect_by_branch
4,2,1,0,30,30,2,2,0,1,0,fixed_by_branch
4,2,1,0,1641,1641,2,2,4,1,0,fixed_by_branch
4,2,2,3,1005,1005,3,2,3,0,1,broken_by_branch
4,3,1,2,39,39,3,3,2,1,0,fixed_by_branch
4,3,1,2,1027,1027,3,3,2,1,0,fixed_by_branch
4,3,1,2,1225,1225,2,3,2,0,1,broken_by_branch
4,3,1,2,1803,1803,3,3,2,1,0,fixed_by_branch
4,3,2,4,1722,1722,3,3,0,1,0,fixed_by_branch
4,4,1,3,475,475,2,4,3,0,0,wrong_redirect_by_branch
4,4,1,3,1924,1924,2,4,0,0,0,wrong_redirect_by_branch
5,0,1,1,86,86,0,0,1,1,0,fixed_by_branch
5,0,1,1,396,396,1,0,1,0,1,broken_by_branch
5,0,1,1,743,743,1,0,1,0,1,broken_by_branch
5,0,1,1,807,807,3,0,3,0,1,broken_by_branch
5,1,1,0,249,249,1,1,0,1,0,fixed_by_branch
5,1,1,0,521,521,2,1,0,0,0,wrong_redirect_by_branch
5,1,1,0,953,953,1,1,0,1,0,fixed_by_branch
5,1,1,0,1198,1198,1,1,0,1,0,fixed_by_branch
5,1,1,0,1986,1986,1,1,2,1,0,fixed_by_branch
5,1,1,0,2093,2093,2,1,2,0,1,broken_by_branch
5,1,1,0,2193,2193,1,1,0,1,0,fixed_by_branch
5,1,2,2,1175,1175,1,1,2,1,0,fixed_by_branch
5,1,2,2,2028,2028,0,1,0,0,1,broken_by_branch
5,2,2,0,161,161,2,2,1,1,0,fixed_by_branch
5,3,1,2,355,355,2,3,4,0,0,wrong_redirect_by_branch
5,3,2,0,565,565,3,3,0,1,0,fixed_by_branch
6,0,1,1,1307,1307,0,0,1,1,0,fixed_by_branch
6,1,1,0,32,32,2,1,0,0,0,wrong_redirect_by_branch
6,1,1,0,801,801,2,1,2,0,1,broken_by_branch
6,1,1,0,1521,1521,2,1,2,0,1,broken_by_branch
6,1,1,0,2046,2046,2,1,0,0,0,wrong_redirect_by_branch
6,1,1,0,2257,2257,3,1,0,0,0,wrong_redirect_by_branch
6,2,2,1,2195,2195,2,2,1,1,0,fixed_by_branch
7,0,1,2,11,11,0,0,3,1,0,fixed_by_branch
7,0,1,2,506,506,4,0,2,0,0,wrong_redirect_by_branch
7,0,1,2,873,873,4,0,2,0,0,wrong_redirect_by_branch
7,0,1,2,910,910,0,0,3,1,0,fixed_by_branch
7,0,1,2,1270,1270,0,0,3,1,0,fixed_by_branch
7,0,1,2,1474,1474,2,0,2,0,1,broken_by_branch
7,0,1,2,1738,1738,0,0,2,1,0,fixed_by_branch
7,0,1,2,1863,1863,3,0,2,0,0,wrong_redirect_by_branch
7,1,1,0,161,161,2,1,0,0,0,wrong_redirect_by_branch
7,1,1,0,399,399,1,1,0,1,0,fixed_by_branch
7,1,1,0,798,798,2,1,0,0,0,wrong_redirect_by_branch
7,1,1,0,1197,1197,1,1,2,1,0,fixed_by_branch
7,1,1,0,2114,2114,1,1,0,1,0,fixed_by_branch
8,1,1,0,520,520,2,1,0,0,0,wrong_redirect_by_branch
8,2,1,3,1410,1410,3,2,3,0,1,broken_by_branch
9,0,1,1,1233,1233,1,0,1,0,1,broken_by_branch
9,0,1,1,2130,2130,0,0,1,1,0,fixed_by_branch
9,0,2,2,598,598,1,0,2,0,0,wrong_redirect_by_branch
9,0,2,2,907,907,1,0,2,0,0,wrong_redirect_by_branch
9,1,1,0,233,233,1,1,0,1,0,fixed_by_branch
9,1,2,2,1068,1068,1,1,2,1,0,fixed_by_branch
9,2,1,1,1462,1462,1,2,0,0,0,wrong_redirect_by_branch
9,2,1,1,1531,1531,1,2,0,0,0,wrong_redirect_by_branch
9,3,2,0,1935,1935,3,3,0,1,0,fixed_by_branch


